fila;linha;coluna;individuo;dap_suta;dap_trena;circunferencia
F1;1;1;1;17.6;18;53.3
F1;1;2;2;15.5;16;48
F1;1;3;3;13.5;15.4;43.3
F1;1;4;4;12.9;15;42
F1;1;5;5;12.1;12;39
F1;1;6;6;12.1;13;39
F1;1;7;7;9.5;11;31.7
F1;1;8;9;11.3;11.8;35.1
F1;1;9;10;10.2;9.4;32
F1;1;10;11;10.5;14;34.4
F1;1;11;12;9.8;10;31.5
F1;1;12;13;11.5;11;37.3
F1;1;13;14;10.6;10;33.4
F1;1;14;15;12.4;12;39
F2;2;1;1;14.7;14.5;46.5
F2;2;2;2;14.8;15;45.7
F2;2;3;3;12.2;13.3;41.1
F2;2;4;4;12.8;14;41
F2;2;5;5;10.8;11.8;34
F2;2;6;6;12.8;13;40.5
F2;2;7;7;11.7;11.5;37
F2;2;8;8;12.2;13.5;39.6
F2;2;9;9;7.6;7.1;25.2
F2;2;10;10;11;10;35
F2;2;11;11;12.4;10.1;39.3
F2;2;12;12;10.5;11.5;34.8
F2;2;13;13;12.1;12.5;39
F2;2;14;14;14;15.5;43.5
F3;3;1;1;15.1;15;49.2
F3;3;2;2;14.3;14.5;44.2
F3;3;3;3;13.9;13.5;41.5
F3;3;4;4;12.8;12.5;39.8
F3;3;5;5;13.9;13.5;42.4
F3;3;6;6;8.3;8;25.3
F3;3;7;7;10.6;10.4;33.2
F3;3;8;8;10;9.3;31.2
F3;3;9;9;10.9;11.3;37
F3;3;10;10;10.1;11.5;32.3
F3;3;11;11;10.1;9.5;32.6
F3;3;12;12;11.7;11.4;36.4
F3;3;13;13;11.1;11;36.7
F3;3;14;14;13.1;13.2;43.8
F4;4;1;1;13.9;14;44.1
F4;4;2;2;13.8;14.9;43.8
F4;4;3;3;11.9;12.8;37.2
F4;4;4;4;11.2;11;36.2
F4;4;5;5;9.3;10.5;30.1
F4;4;6;6;8.9;9.2;29.1
F4;4;7;7;8;8;26.3
F4;4;8;8;9.9;11.2;32.3
F4 ;4;9;9;10.9;9.5;35
F4;4;10;10;9.4;10.5;30
F4;4;11;11;12.3;12.4;40
F4;4;12;12;7.6;8;24.5
F4;4;13;13;9;9;30.1
F4;4;14;14;10.9;11.4;35.5
F5;5;1;1;10.2;9.5;34
F5;5;2;2;11.3;12;37.8
F5 ;5;3;3;7;7.3;20.5
F5 ;5;4;4;5.6;6.5;19
F5 ;5;5;5;6.3;7.5;21.5
F5 ;5;6;6;6.6;6.5;19.3
F5 ;5;7;7;5.1;5.8;17.5
F5 ;5;8;8;6.6;7;21.7
F5 ;5;9;9;4.7;5;15.4
F5 ;5;10;10;6;6.5;19.2
F5 ;5;11;11;9.5;10;31
F5 ;5;12;12;9;9.8;30.5
F5 ;5;13;13;12.3;13.5;39.5
F5 ;5;14;14;6.7;7.8;22
