DAP;SOM;REP;MST;AF
DIA_21;RAD_50;1;4.31;846.98
DIA_21;RAD_50;2;5.25;1607.28
DIA_21;RAD_50;3;4.50;1320.03
DIA_21;RAD_50;4;4.61;1566.61
DIA_21;RAD_70;1;4.12;1206.14
DIA_21;RAD_70;2;5.52;1863.12
DIA_21;RAD_70;3;5.27;1774.03
DIA_21;RAD_70;4;4.26;1307.26
DIA_21;RAD_100;1;5.24;1203.29
DIA_21;RAD_100;2;5.70;1298.63
DIA_21;RAD_100;3;4.73;1110.16
DIA_21;RAD_100;4;5.35;1265.79
DIA_28;RAD_50;1;7.57;3016.89
DIA_28;RAD_50;2;6.56;2723.63
DIA_28;RAD_50;3;6.16;2590.29
DIA_28;RAD_50;4;8.43;2929.74
DIA_28;RAD_70;1;9.10;3804.11
DIA_28;RAD_70;2;8.05;3543.14
DIA_28;RAD_70;3;7.68;2991.05
DIA_28;RAD_70;4;8.01;2914.03
DIA_28;RAD_100;1;11.71;3400.01
DIA_28;RAD_100;2;11.40;3581.65
DIA_28;RAD_100;3;7.27;1900.70
DIA_28;RAD_100;4;8.36;2644.48
DIA_35;RAD_50;1;12.31;5016.43
DIA_35;RAD_50;2;10.73;3648.36
DIA_35;RAD_50;3;10.86;3925.33
DIA_35;RAD_50;4;10.98;4705.27
DIA_35;RAD_70;1;15.75;6118.43
DIA_35;RAD_70;2;13.30;5614.23
DIA_35;RAD_70;3;13.88;5109.94
DIA_35;RAD_70;4;13.09;4975.86
DIA_35;RAD_100;1;16.92;5464.53
DIA_35;RAD_100;2;14.93;5551.95
DIA_35;RAD_100;3;16.13;5723.85
DIA_35;RAD_100;4;15.78;5869.70
